interaction_id,user_id,session_id,turn_index,timestamp,support_mode,fragment,fragment_word_count,pause_intervals,repetition_detected,camera_enabled,visible_objects,pointing_target,pointing_confidence,candidate_1,candidate_2,candidate_3,top1_before_learning,confirmed_text,user_feedback,reward,memory_similarity,learned_rank_score,policy_version,split
i_01200,user_01,user_01_s03,30,1700044400,prefer_not_to_say,can you get... stuck...,4,2.4;1.9,0,1,help;headphones,,0.0,I need my keys.,I need my headphones.,I need help.,I need my keys.,I need help.,rejected,-1,0.29,0.487,2,train
i_01201,user_02,user_02_s03,30,1700044437,aphasia_word_finding,I... um... cold...,3,1.2;1.3,0,0,,,0.0,I need my blanket.,I need my headphones.,I need my keys.,I need my headphones.,I need my blanket.,rejected,-1,0.274,0.482,2,train
i_01202,user_03,user_03_s03,30,1700044474,aphasia_word_finding,I need... that... out...,4,0.9,0,0,,,0.0,I need my tablet.,I need my blanket.,I want to leave.,I need my blanket.,I want to leave.,rejected,-1,0.241,0.472,2,train
i_01203,user_04,user_04_s03,30,1700044511,prefer_not_to_say,I want... that... stuck...,4,2.1;1.5,1,1,help;headphones,,0.0,I need help.,I need my keys.,I need my headphones.,I need my keys.,I need help.,rejected,-1,0.81,0.643,5,train
i_01204,user_05,user_05_s03,30,1700044548,aac,can we... thing...,3,1.9,1,1,charger;headphones,headphones,0.56,I need my charger.,I need my headphones.,I need my keys.,I need my keys.,I need my headphones.,rejected,-1,0.114,0.602,1,train
i_01205,user_06,user_06_s03,30,1700044585,autism_neurodivergent,crowd...,1,0.8;1.9,0,1,jacket;alone,alone,0.85,I want to be alone for a bit.,I need my jacket.,I need my glasses.,I need my glasses.,I want to be alone for a bit.,rejected,-1,0.122,0.692,1,train
i_01206,user_07,user_07_s03,30,1700044622,aphasia_word_finding,can we... blue...,3,1.8,0,1,glasses;headphones,,0.0,I need my jacket.,I need my glasses.,I need my headphones.,I need my headphones.,I need my headphones.,accepted,1,0.461,0.538,3,train
i_01207,user_08,user_08_s03,30,1700044659,cognitive_fatigue,I... um... stuck...,3,2.3,0,0,,,0.0,I need my jacket.,I need help.,I need my headphones.,I need my jacket.,I need help.,rejected,-1,0.95,0.685,7,train
i_01208,user_09,user_09_s03,30,1700044696,autism_neurodivergent,I... um... cannot...,3,0.9;2.4,0,1,blanket;help,,0.0,I need my headphones.,I need help.,I need my blanket.,I need my headphones.,I need help.,rejected,-1,0.868,0.66,5,train
i_01209,user_10,user_10_s03,30,1700044733,autism_neurodivergent,uh... read... read...,3,2.2,0,1,glasses;jacket,glasses,0.78,I need my jacket.,I need my glasses.,I need my keys.,I need my glasses.,I need my glasses.,accepted,1,0.138,0.675,1,train
i_01210,user_11,user_11_s03,30,1700044770,aac,can we... book...,3,2.1,0,1,phone;notebook,,0.0,I need my headphones.,I need my phone.,I need my notebook.,I need my phone.,I need my notebook.,rejected,-1,0.82,0.646,5,train
i_01211,user_12,user_12_s03,30,1700044807,aac,I need... that... drink...,4,0.8,0,1,water;headphones,water,0.73,I need my headphones.,I need some water.,I need my notebook.,I need some water.,I need some water.,accepted,1,0.95,0.904,8,train
i_01212,user_13,user_13_s03,30,1700044844,aac,uh... tired... tired...,3,2.6;2.6,1,1,headphones;break,break,0.71,I need my keys.,I need my headphones.,I need a break.,I need a break.,I need a break.,accepted,1,0.835,0.864,5,train
i_01213,user_14,user_14_s03,30,1700044881,cognitive_fatigue,blue...,1,0.8,0,1,blanket;notebook,notebook,0.75,I need my phone.,I need my notebook.,I need my blanket.,I need my notebook.,I need my notebook.,accepted,1,0.609,0.808,4,train
i_01214,user_15,user_15_s03,30,1700044918,cognitive_fatigue,I want... that... out...,4,0.7;2.5,0,0,,,0.0,I need my charger.,I want to leave.,I need my phone.,I need my charger.,I want to leave.,rejected,-1,0.452,0.536,3,train
i_01215,user_16,user_16_s03,30,1700044955,cognitive_fatigue,black...,1,1.1,0,0,,,0.0,I need my keys.,I need my blanket.,I need my phone.,I need my blanket.,I need my phone.,rejected,-1,0.08,0.424,1,train
i_01216,user_17,user_17_s03,30,1700044992,aphasia_word_finding,I need... that... thing...,4,0.7,0,1,keys;phone,,0.0,I need my phone.,I need my blanket.,I need my keys.,I need my phone.,I need my phone.,accepted,1,0.289,0.487,2,train
i_01217,user_18,user_18_s03,30,1700045029,cognitive_fatigue,people...,1,0.8,0,0,,,0.0,I want to be alone for a bit.,I need my keys.,I need my notebook.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.425,0.528,3,train
i_01218,user_19,user_19_s03,30,1700045066,aphasia_word_finding,I need... that... black...,4,1.9;1.1,0,1,phone;keys,,0.0,I need my phone.,I need my notebook.,I need my keys.,I need my keys.,I need my phone.,rejected,-1,0.414,0.524,3,train
i_01219,user_20,user_20_s03,30,1700045103,prefer_not_to_say,coat...,1,1.4,0,1,headphones;jacket,jacket,0.86,I need my jacket.,I need my charger.,I need my headphones.,I need my jacket.,I need my jacket.,accepted,1,0.95,0.943,7,train
i_01220,user_21,user_21_s03,30,1700045140,aphasia_word_finding,uh... cable... cable...,3,2.6;1.3,0,0,,,0.0,I need my blanket.,I need my charger.,I need my notebook.,I need my charger.,I need my charger.,accepted,1,0.638,0.591,4,train
i_01221,user_22,user_22_s03,30,1700045177,cognitive_fatigue,I want... that... blue...,4,2.3;2.2,0,0,,,0.0,I need my notebook.,I need my charger.,I need my headphones.,I need my notebook.,I need my notebook.,accepted,1,0.66,0.598,4,train
i_01222,user_23,user_23_s03,30,1700045214,aac,can we... crowd...,3,2.4,0,1,alone;water,alone,0.84,I need my notebook.,I need some water.,I want to be alone for a bit.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.242,0.725,2,train
i_01223,user_24,user_24_s03,30,1700045251,prefer_not_to_say,can we... blue...,3,1.4,0,0,,,0.0,I need some water.,I need my jacket.,I need my notebook.,I need my notebook.,I need my notebook.,accepted,1,0.144,0.443,1,train
i_01224,user_25,user_25_s03,30,1700045288,cognitive_fatigue,can we... stuck...,3,2.6;1.8,0,1,help;phone,help,0.62,I need my phone.,I need help.,I need my charger.,I need help.,I need help.,accepted,1,0.417,0.711,3,train
i_01225,user_26,user_26_s03,30,1700045325,cognitive_fatigue,can we... crowd...,3,1.9;1.3,0,1,alone;blanket,alone,0.61,I need my blanket.,I want to be alone for a bit.,I need my notebook.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.95,0.868,6,train
i_01226,user_27,user_27_s03,30,1700045362,prefer_not_to_say,I... um... home...,3,1.6;2.7,0,1,jacket;leave,leave,0.86,I need my charger.,I need my jacket.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.609,0.841,4,train
i_01227,user_28,user_28_s03,30,1700045399,prefer_not_to_say,can we... home...,3,2.1;0.9,0,1,leave;glasses,,0.0,I need my jacket.,I want to leave.,I need my glasses.,I need my jacket.,I want to leave.,rejected,-1,0.86,0.658,5,train
i_01228,user_29,user_29_s03,30,1700045436,aphasia_word_finding,I need... metal...,3,2.4;1.6,0,1,keys;phone,,0.0,I need my phone.,I need some water.,I need my keys.,I need my phone.,I need my keys.,rejected,-1,0.466,0.54,3,train
i_01229,user_30,user_30_s03,30,1700045473,other,can you get... stuck...,4,2.0;2.1,0,0,,,0.0,I need my blanket.,I need help.,I need my phone.,I need my blanket.,I need help.,rejected,-1,0.78,0.634,5,train
i_01230,user_31,user_31_s03,30,1700045510,cognitive_fatigue,I want... that... go...,4,2.2;2.6,0,0,,,0.0,I need my blanket.,I need my charger.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.644,0.593,4,train
i_01231,user_32,user_32_s03,30,1700045547,cognitive_fatigue,I... um... stuck...,3,1.9;2.4,0,1,help;tablet,,0.0,I need my phone.,I need help.,I need my tablet.,I need my phone.,I need help.,rejected,-1,0.625,0.588,4,train
i_01232,user_33,user_33_s03,30,1700045584,other,can we... screen...,3,1.0,1,1,tablet;water,,0.0,I need my tablet.,I need my charger.,I need some water.,I need some water.,I need my tablet.,rejected,-1,0.601,0.58,4,train
i_01233,user_34,user_34_s03,30,1700045621,speech_language,can we... people...,3,2.7,0,1,blanket;alone,alone,0.92,I want to be alone for a bit.,I need my blanket.,I need my tablet.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.444,0.809,3,train
i_01234,user_35,user_35_s03,30,1700045658,aphasia_word_finding,can you get... much...,4,1.4;1.0,1,1,keys;quiet,,0.0,It is too loud.,I need my phone.,I need my keys.,It is too loud.,It is too loud.,accepted,1,0.825,0.647,5,train
i_01235,user_36,user_36_s03,30,1700045695,cognitive_fatigue,uh... door... door...,3,1.9,0,0,,,0.0,I need some water.,I need my keys.,I need my blanket.,I need some water.,I need my keys.,rejected,-1,0.481,0.544,3,train
i_01236,user_37,user_37_s03,30,1700045732,autism_neurodivergent,I want... that... see...,4,2.5;1.2,0,0,,,0.0,I need my keys.,I need my glasses.,I need some water.,I need my keys.,I need my glasses.,rejected,-1,0.847,0.654,5,train
i_01237,user_38,user_38_s03,30,1700045769,autism_neurodivergent,blue...,1,1.8,0,1,blanket;headphones,,0.0,I need my blanket.,I need my headphones.,I need my tablet.,I need my blanket.,I need my headphones.,rejected,-1,0.413,0.524,3,train
i_01238,user_39,user_39_s03,30,1700045806,prefer_not_to_say,can we... warm...,3,0.9;2.6,0,1,tablet;jacket,,0.0,I need my tablet.,I need my glasses.,I need my jacket.,I need my jacket.,I need my jacket.,accepted,1,0.95,0.685,6,train
i_01239,user_40,user_40_s03,30,1700045843,prefer_not_to_say,I... um... crowd...,3,0.8,1,1,headphones;alone,,0.0,I need my headphones.,I need my blanket.,I want to be alone for a bit.,I need my headphones.,I want to be alone for a bit.,rejected,-1,0.66,0.598,4,train
i_01240,user_01,user_01_s03,31,1700045880,prefer_not_to_say,can we... stop...,3,2.3,0,1,keys;break,break,0.56,I need my phone.,I need my keys.,I need a break.,I need my phone.,I need a break.,rejected,-1,0.289,0.655,2,train
i_01241,user_02,user_02_s03,31,1700045917,aphasia_word_finding,I need... people...,3,1.6;1.7,0,0,,,0.0,I need my phone.,I need my glasses.,I want to be alone for a bit.,I need my phone.,I want to be alone for a bit.,rejected,-1,0.504,0.551,3,train
i_01242,user_03,user_03_s03,31,1700045954,aphasia_word_finding,I need... that... noise...,4,2.7;1.2,0,0,,,0.0,It is too loud.,I need my glasses.,I need my keys.,It is too loud.,It is too loud.,accepted,1,0.508,0.552,3,train
i_01243,user_04,user_04_s03,31,1700045991,prefer_not_to_say,uh... cannot... cannot...,3,2.4,0,0,,,0.0,I need help.,I need my tablet.,I need my blanket.,I need help.,I need help.,accepted,1,0.95,0.685,6,train
i_01244,user_05,user_05_s03,31,1700046028,aac,can we... black...,3,0.7;1.8,0,0,,,0.0,I need my keys.,I need my charger.,I need my phone.,I need my keys.,I need my phone.,rejected,-1,0.95,0.685,9,train
i_01245,user_06,user_06_s03,31,1700046065,autism_neurodivergent,I need... much...,3,2.5;0.8,1,1,headphones;break,break,0.81,I need a break.,I need my tablet.,I need my headphones.,I need a break.,I need a break.,accepted,1,0.78,0.877,5,train
i_01246,user_07,user_07_s03,31,1700046102,aphasia_word_finding,can we... noise...,3,2.3,0,1,quiet;blanket,,0.0,I need my blanket.,I need my keys.,It is too loud.,I need my keys.,It is too loud.,rejected,-1,0.291,0.487,2,train
i_01247,user_08,user_08_s03,31,1700046139,cognitive_fatigue,can you get... noise...,4,2.2;2.5,0,1,keys;quiet,quiet,0.75,I need my keys.,It is too loud.,I need my jacket.,It is too loud.,It is too loud.,accepted,1,0.824,0.872,5,train
i_01248,user_09,user_09_s03,31,1700046176,autism_neurodivergent,I need... that... black...,4,1.5,0,1,glasses;phone,,0.0,I need my glasses.,I need my keys.,I need my phone.,I need my glasses.,I need my phone.,rejected,-1,0.266,0.48,2,train
i_01249,user_10,user_10_s03,31,1700046213,autism_neurodivergent,can we... soft...,3,2.0,0,0,,,0.0,I need my blanket.,I need my tablet.,I need my headphones.,I need my blanket.,I need my blanket.,accepted,1,0.262,0.479,2,train
i_01250,user_11,user_11_s03,31,1700046250,aac,I want... that... go...,4,1.3,0,1,charger;leave,leave,0.65,I want to leave.,I need my charger.,I need my glasses.,I want to leave.,I want to leave.,accepted,1,0.602,0.776,4,train
i_01251,user_12,user_12_s03,31,1700046287,aac,uh... noise... noise...,3,0.7;2.0,0,1,charger;quiet,quiet,0.75,I need my charger.,I need my keys.,It is too loud.,I need my charger.,It is too loud.,rejected,-1,0.858,0.882,5,train
i_01252,user_13,user_13_s03,31,1700046324,aac,I... um... out...,3,1.5;2.5,0,0,,,0.0,I want to leave.,I need my headphones.,I need my tablet.,I need my headphones.,I want to leave.,rejected,-1,0.286,0.486,2,train
i_01253,user_14,user_14_s03,31,1700046361,cognitive_fatigue,can you get... app...,4,1.5;2.7,0,1,notebook;tablet,tablet,0.71,I need my tablet.,I need my phone.,I need my notebook.,I need my tablet.,I need my tablet.,accepted,1,0.492,0.761,3,train
i_01254,user_15,user_15_s03,31,1700046398,cognitive_fatigue,I... um... black...,3,2.6,0,0,,,0.0,I need some water.,I need my phone.,I need my glasses.,I need my phone.,I need my phone.,accepted,1,0.95,0.685,6,train
i_01255,user_16,user_16_s03,31,1700046435,cognitive_fatigue,can you get... soft...,4,2.2,0,0,,,0.0,I need my headphones.,I need my blanket.,I need my charger.,I need my headphones.,I need my blanket.,rejected,-1,0.668,0.6,4,train
i_01256,user_17,user_17_s03,31,1700046472,aphasia_word_finding,can we... cannot...,3,2.1,0,0,,,0.0,I need my glasses.,I need help.,I need my tablet.,I need my glasses.,I need help.,rejected,-1,0.813,0.644,5,train
i_01257,user_18,user_18_s03,31,1700046509,cognitive_fatigue,can we... crowd...,3,2.1,0,1,notebook;alone,,0.0,I need my notebook.,I want to be alone for a bit.,I need my phone.,I need my phone.,I want to be alone for a bit.,rejected,-1,0.6,0.58,4,train
i_01258,user_19,user_19_s03,31,1700046546,aphasia_word_finding,I need... that... out...,4,2.2,0,1,keys;leave,,0.0,I need my phone.,I want to leave.,I need my keys.,I need my keys.,I want to leave.,rejected,-1,0.863,0.659,5,train
i_01259,user_20,user_20_s03,31,1700046583,prefer_not_to_say,I need... that... warm...,4,2.8,0,1,notebook;jacket,jacket,0.83,I need my keys.,I need my notebook.,I need my jacket.,I need my jacket.,I need my jacket.,accepted,1,0.95,0.934,8,train
i_01260,user_21,user_21_s03,31,1700046620,aphasia_word_finding,can you get... people...,4,1.5;1.5,0,1,headphones;alone,,0.0,I want to be alone for a bit.,I need my headphones.,I need some water.,I need my headphones.,I want to be alone for a bit.,rejected,-1,0.95,0.685,7,train
i_01261,user_22,user_22_s03,31,1700046657,cognitive_fatigue,I need... soft...,3,0.7;1.3,0,1,notebook;blanket,blanket,0.92,I need my blanket.,I need my notebook.,I need my charger.,I need my blanket.,I need my blanket.,accepted,1,0.486,0.822,3,train
i_01262,user_23,user_23_s03,31,1700046694,aac,I want... that... people...,4,2.0;1.1,0,1,headphones;alone,alone,0.89,I need my charger.,I need my headphones.,I want to be alone for a bit.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.436,0.798,3,train
i_01263,user_24,user_24_s03,31,1700046731,prefer_not_to_say,I need... noise...,3,1.5,0,1,quiet;jacket,quiet,0.58,I need my blanket.,I need my jacket.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.95,0.859,6,train
i_01264,user_25,user_25_s03,31,1700046768,cognitive_fatigue,can we... stop...,3,2.4,0,1,break;keys,break,0.64,I need my keys.,I need some water.,I need a break.,I need a break.,I need a break.,accepted,1,0.234,0.662,2,train
i_01265,user_26,user_26_s03,31,1700046805,cognitive_fatigue,I need... that... drink...,4,1.5,0,1,notebook;water,,0.0,I need my keys.,I need my notebook.,I need some water.,I need some water.,I need some water.,accepted,1,0.139,0.442,1,train
i_01266,user_27,user_27_s03,31,1700046842,prefer_not_to_say,black...,1,1.0;2.6,0,1,tablet;phone,phone,0.93,I need my tablet.,I need my phone.,I need my keys.,I need my phone.,I need my phone.,accepted,1,0.269,0.76,2,train
i_01267,user_28,user_28_s03,31,1700046879,prefer_not_to_say,stop...,1,2.6,0,1,break;water,,0.0,I need a break.,I need some water.,I need my headphones.,I need my headphones.,I need a break.,rejected,-1,0.823,0.647,5,train
i_01268,user_29,user_29_s03,31,1700046916,aphasia_word_finding,I need... that... noise...,4,1.3;1.2,0,1,quiet;glasses,quiet,0.88,I need my keys.,I need my glasses.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.491,0.811,3,train
i_01269,user_30,user_30_s03,31,1700046953,other,I... um... app...,3,0.7,0,1,tablet;keys,,0.0,I need my tablet.,I need my headphones.,I need my keys.,I need my keys.,I need my tablet.,rejected,-1,0.419,0.526,3,train
i_01270,user_31,user_31_s03,31,1700046990,cognitive_fatigue,can we... people...,3,1.7,0,0,,,0.0,I need my keys.,I want to be alone for a bit.,I need my notebook.,I need my keys.,I want to be alone for a bit.,rejected,-1,0.458,0.537,3,train
i_01271,user_32,user_32_s03,31,1700047027,cognitive_fatigue,uh... metal... metal...,3,2.5,1,1,phone;keys,,0.0,I need my keys.,I need my blanket.,I need my phone.,I need my phone.,I need my keys.,rejected,-1,0.652,0.596,4,train
i_01272,user_33,user_33_s03,31,1700047064,other,can we... door...,3,2.6;1.4,1,1,phone;keys,keys,0.84,I need my phone.,I need my keys.,I need my notebook.,I need my keys.,I need my keys.,accepted,1,0.95,0.937,6,train
i_01273,user_34,user_34_s03,31,1700047101,speech_language,cannot...,1,2.4;2.1,0,0,,,0.0,I need my keys.,I need my notebook.,I need help.,I need my keys.,I need help.,rejected,-1,0.502,0.551,3,train
i_01274,user_35,user_35_s03,31,1700047138,aphasia_word_finding,I want... that... out...,4,1.6,0,0,,,0.0,I want to leave.,I need my keys.,I need my notebook.,I want to leave.,I want to leave.,accepted,1,0.845,0.653,5,train
i_01275,user_36,user_36_s03,31,1700047175,cognitive_fatigue,uh... much... much...,3,1.8,1,0,,,0.0,I need my glasses.,I need my blanket.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.95,0.685,6,train
i_01276,user_37,user_37_s03,31,1700047212,autism_neurodivergent,I need... that... much...,4,2.4;2.6,1,0,,,0.0,It is too loud.,I need my blanket.,I need my tablet.,I need my blanket.,It is too loud.,rejected,-1,0.313,0.494,2,train
i_01277,user_38,user_38_s03,31,1700047249,autism_neurodivergent,can we... soft...,3,1.0,0,0,,,0.0,I need my blanket.,I need my phone.,I need my glasses.,I need my blanket.,I need my blanket.,accepted,1,0.82,0.646,5,train
i_01278,user_39,user_39_s03,31,1700047286,prefer_not_to_say,I want... that... go...,4,2.2;1.2,0,1,leave;phone,leave,0.92,I need my phone.,I need my glasses.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.239,0.748,2,train
i_01279,user_40,user_40_s03,31,1700047323,prefer_not_to_say,I... um... cable...,3,1.8;1.0,0,1,charger;keys,,0.0,I need my blanket.,I need my keys.,I need my charger.,I need my keys.,I need my charger.,rejected,-1,0.657,0.597,4,train
i_01280,user_01,user_01_s04,32,1700047360,prefer_not_to_say,can we... cup...,3,0.8,0,1,water;headphones,,0.0,I need some water.,I need my headphones.,I need my notebook.,I need my notebook.,I need some water.,rejected,-1,0.95,0.685,7,train
i_01281,user_02,user_02_s04,32,1700047397,aphasia_word_finding,I need... that... cold...,4,0.8,0,0,,,0.0,I need my tablet.,I need my blanket.,I need my charger.,I need my charger.,I need my blanket.,rejected,-1,0.42,0.526,3,train
i_01282,user_03,user_03_s04,32,1700047434,aphasia_word_finding,uh... home... home...,3,0.7,0,1,charger;leave,leave,0.61,I need my charger.,I want to leave.,I need my jacket.,I want to leave.,I want to leave.,accepted,1,0.442,0.716,3,train
i_01283,user_04,user_04_s04,32,1700047471,prefer_not_to_say,I need... that... screen...,4,0.7,0,0,,,0.0,I need my headphones.,I need my tablet.,I need my keys.,I need my tablet.,I need my tablet.,accepted,1,0.082,0.425,1,train
i_01284,user_05,user_05_s04,32,1700047508,aac,I want... that... see...,4,1.6,1,1,glasses;blanket,glasses,0.73,I need my blanket.,I need my glasses.,I need some water.,I need my glasses.,I need my glasses.,accepted,1,0.443,0.752,3,train
i_01285,user_06,user_06_s04,32,1700047545,autism_neurodivergent,can you get... loud...,4,2.7,0,0,,,0.0,It is too loud.,I need some water.,I need my notebook.,I need my notebook.,It is too loud.,rejected,-1,0.95,0.685,7,train
i_01286,user_07,user_07_s04,32,1700047582,aphasia_word_finding,I want... that... home...,4,2.0;1.1,0,1,phone;leave,leave,0.58,I need my phone.,I need my charger.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.623,0.761,4,train
i_01287,user_08,user_08_s04,32,1700047619,cognitive_fatigue,I want... that... see...,4,2.7;1.9,0,0,,,0.0,I need my glasses.,I need some water.,I need my headphones.,I need my headphones.,I need my glasses.,rejected,-1,0.611,0.583,4,train
i_01288,user_09,user_09_s04,32,1700047656,autism_neurodivergent,I... um... black...,3,2.5;1.6,0,1,phone;tablet,,0.0,I need my phone.,I need my notebook.,I need my tablet.,I need my tablet.,I need my phone.,rejected,-1,0.447,0.534,3,train
i_01289,user_10,user_10_s04,32,1700047693,autism_neurodivergent,I want... that... book...,4,1.5;1.9,0,0,,,0.0,I need my jacket.,I need my tablet.,I need my notebook.,I need my jacket.,I need my notebook.,rejected,-1,0.291,0.487,2,train
i_01290,user_11,user_11_s04,32,1700047730,aac,can we... out...,3,1.7,0,0,,,0.0,I need my jacket.,I want to leave.,I need my blanket.,I need my jacket.,I want to leave.,rejected,-1,0.857,0.657,5,train
i_01291,user_12,user_12_s04,32,1700047767,aac,I need... that... cannot...,4,0.7;0.6,0,1,water;help,,0.0,I need some water.,I need help.,I need my tablet.,I need help.,I need help.,accepted,1,0.308,0.492,2,train
i_01292,user_13,user_13_s04,32,1700047804,aac,uh... stop... stop...,3,2.4;0.8,0,1,jacket;break,,0.0,I need my jacket.,I need a break.,I need my headphones.,I need my jacket.,I need a break.,rejected,-1,0.95,0.685,6,train
i_01293,user_14,user_14_s04,32,1700047841,cognitive_fatigue,I need... that... loud...,4,2.3,0,1,quiet;phone,,0.0,I need my keys.,I need my phone.,It is too loud.,I need my keys.,It is too loud.,rejected,-1,0.592,0.578,4,train
i_01294,user_15,user_15_s04,32,1700047878,cognitive_fatigue,out...,1,2.0,0,1,keys;leave,leave,0.66,I want to leave.,I need my blanket.,I need my keys.,I want to leave.,I want to leave.,accepted,1,0.635,0.788,4,train
i_01295,user_16,user_16_s04,32,1700047915,cognitive_fatigue,read...,1,2.6;1.0,0,1,glasses;headphones,glasses,0.82,I need my headphones.,I need my glasses.,I need my notebook.,I need my glasses.,I need my glasses.,accepted,1,0.95,0.931,8,train
i_01296,user_17,user_17_s04,32,1700047952,aphasia_word_finding,I want... that... much...,4,0.7;2.2,0,1,quiet;charger,,0.0,It is too loud.,I need my glasses.,I need my charger.,I need my charger.,It is too loud.,rejected,-1,0.263,0.479,2,train
i_01297,user_18,user_18_s04,32,1700047989,cognitive_fatigue,I need... that... home...,4,1.3,0,1,phone;leave,leave,0.78,I want to leave.,I need my keys.,I need my phone.,I want to leave.,I want to leave.,accepted,1,0.858,0.891,5,train
i_01298,user_19,user_19_s04,32,1700048026,aphasia_word_finding,I want... that... warm...,4,1.2;2.7,0,1,jacket;keys,,0.0,I need my jacket.,I need my keys.,I need my tablet.,I need my jacket.,I need my jacket.,accepted,1,0.092,0.428,1,train
i_01299,user_20,user_20_s04,32,1700048063,prefer_not_to_say,can we... black...,3,1.4;2.6,1,1,glasses;phone,phone,0.73,I need some water.,I need my phone.,I need my glasses.,I need my phone.,I need my phone.,accepted,1,0.123,0.656,1,train
i_01300,user_21,user_21_s04,32,1700048100,aphasia_word_finding,I want... that... go...,4,0.7,0,0,,,0.0,I need my notebook.,I want to leave.,I need my tablet.,I want to leave.,I want to leave.,accepted,1,0.829,0.649,5,train
i_01301,user_22,user_22_s04,32,1700048137,cognitive_fatigue,can you get... cannot...,4,1.6,1,1,notebook;help,,0.0,I need my charger.,I need my notebook.,I need help.,I need help.,I need help.,accepted,1,0.288,0.486,2,train
i_01302,user_23,user_23_s04,32,1700048174,aac,uh... cold... cold...,3,2.0;0.8,0,0,,,0.0,I need my keys.,I need my charger.,I need my blanket.,I need my charger.,I need my blanket.,rejected,-1,0.601,0.58,4,train
i_01303,user_24,user_24_s04,32,1700048211,prefer_not_to_say,can we... stuck...,3,1.8,0,0,,,0.0,I need help.,I need some water.,I need my phone.,I need my phone.,I need help.,rejected,-1,0.484,0.545,3,train
i_01304,user_25,user_25_s04,32,1700048248,cognitive_fatigue,can we... soft...,3,0.8,0,1,blanket;tablet,,0.0,I need my phone.,I need my tablet.,I need my blanket.,I need my phone.,I need my blanket.,rejected,-1,0.074,0.422,1,train
i_01305,user_26,user_26_s04,32,1700048285,cognitive_fatigue,I... um... stop...,3,2.7,0,1,water;break,break,0.73,I need some water.,I need my charger.,I need a break.,I need some water.,I need a break.,rejected,-1,0.95,0.904,7,train
i_01306,user_27,user_27_s04,32,1700048322,prefer_not_to_say,I want... that... crowd...,4,2.4,0,1,alone;charger,,0.0,I need my glasses.,I need my charger.,I want to be alone for a bit.,I need my glasses.,I want to be alone for a bit.,rejected,-1,0.95,0.685,6,train
i_01307,user_28,user_28_s04,32,1700048359,prefer_not_to_say,screen...,1,1.6,0,1,tablet;headphones,,0.0,I need my tablet.,I need my headphones.,I need my phone.,I need my phone.,I need my tablet.,rejected,-1,0.277,0.483,2,train
i_01308,user_29,user_29_s04,32,1700048396,aphasia_word_finding,uh... stop... stop...,3,2.4;2.2,0,0,,,0.0,I need my headphones.,I need a break.,I need my tablet.,I need my headphones.,I need a break.,rejected,-1,0.95,0.685,6,train
i_01309,user_30,user_30_s04,32,1700048433,other,I... um... metal...,3,1.5;1.5,0,0,,,0.0,I need my keys.,I need my headphones.,I need my jacket.,I need my keys.,I need my keys.,accepted,1,0.619,0.586,4,train
i_01310,user_31,user_31_s04,32,1700048470,cognitive_fatigue,uh... cold... cold...,3,0.9,0,1,phone;blanket,,0.0,I need my blanket.,I need some water.,I need my phone.,I need my blanket.,I need my blanket.,accepted,1,0.069,0.421,1,train
i_01311,user_32,user_32_s04,32,1700048507,cognitive_fatigue,can you get... noise...,4,2.2,0,0,,,0.0,I need my blanket.,I need my headphones.,It is too loud.,I need my blanket.,It is too loud.,rejected,-1,0.483,0.545,3,train
i_01312,user_33,user_33_s04,32,1700048544,other,home...,1,2.0;0.9,0,1,blanket;leave,leave,0.78,I need my blanket.,I need my keys.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.477,0.777,3,train
i_01313,user_34,user_34_s04,32,1700048581,speech_language,I need... that... door...,4,2.1;1.1,0,0,,,0.0,I need my jacket.,I need my tablet.,I need my keys.,I need my jacket.,I need my keys.,rejected,-1,0.32,0.496,2,train
i_01314,user_35,user_35_s04,32,1700048618,aphasia_word_finding,I need... warm...,3,2.0;1.9,0,0,,,0.0,I need my charger.,I need my jacket.,I need my notebook.,I need my jacket.,I need my jacket.,accepted,1,0.073,0.422,1,train
i_01315,user_36,user_36_s04,32,1700048655,cognitive_fatigue,can we... out...,3,2.8;1.9,0,1,keys;leave,leave,0.84,I want to leave.,I need my phone.,I need my keys.,I want to leave.,I want to leave.,accepted,1,0.628,0.84,4,train
i_01316,user_37,user_37_s04,32,1700048692,autism_neurodivergent,uh... read... read...,3,1.9;1.9,0,1,glasses;headphones,glasses,0.88,I need my glasses.,I need my jacket.,I need my headphones.,I need my headphones.,I need my glasses.,rejected,-1,0.95,0.949,6,train
i_01317,user_38,user_38_s04,32,1700048729,autism_neurodivergent,can you get... crowd...,4,1.8,1,1,alone;headphones,alone,0.71,I need my headphones.,I need my blanket.,I want to be alone for a bit.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.261,0.691,2,train
